WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
1.265,66.8,0,3.19E+01,8.05E+01,1.12E+02,1.16E+01,0.1033,,,,,,,,
1.27,66.8,0,3.11E+01,7.91E+01,1.10E+02,1.14E+01,0.1032,,,,,,,,
1.275,66.8,0,3.47E+01,8.83E+01,1.23E+02,1.27E+01,0.1036,,,,,,,,
1.28,66.8,0,3.56E+01,9.08E+01,1.26E+02,1.31E+01,0.1038,,,,,,,,
1.285,66.8,0,3.60E+01,9.19E+01,1.28E+02,1.33E+01,0.104,,,,,,,,
1.29,66.8,0,3.41E+01,8.77E+01,1.22E+02,1.26E+01,0.1035,,,,,,,,
1.295,66.8,0,3.34E+01,8.63E+01,1.20E+02,1.24E+01,0.1034,,,,,,,,
1.3,66.8,0,3.12E+01,8.11E+01,1.12E+02,1.16E+01,0.1031,,,,,,,,
1.305,66.8,0,2.76E+01,7.25E+01,1.00E+02,1.03E+01,0.1024,,,,,,,,
1.31,66.8,0,2.39E+01,6.36E+01,8.75E+01,8.87E+00,0.1015,,,,,,,,
1.315,66.8,0,1.99E+01,5.35E+01,7.34E+01,7.36E+00,0.1003,,,,,,,,
1.32,66.8,0,1.53E+01,4.13E+01,5.65E+01,5.60E+00,0.099,,,,,,,,
1.325,66.8,0,1.70E+01,4.64E+01,6.34E+01,6.29E+00,0.0993,,,,,,,,
1.33,66.8,0,5.62E+00,1.53E+01,2.09E+01,1.97E+00,0.0944,,,,,,,,
1.335,66.8,0,7.01E+00,1.92E+01,2.62E+01,2.50E+00,0.0954,,,,,,,,
1.34,66.8,0,8.16E+00,2.24E+01,3.06E+01,2.93E+00,0.0958,,,,,,,,
1.345,66.8,0,2.10E+00,5.30E+00,7.41E+00,6.65E-01,0.0898,,,,,,,,
1.35,66.8,0,7.70E-02,9.27E-02,1.70E-01,1.22E-02,0.0716,,,,,,,,
1.355,66.8,0,1.42E-03,1.99E-04,1.62E-03,5.31E-05,0.0328,,,,,,,,
1.36,66.8,0,1.50E-08,2.83E-15,1.50E-08,2.76E-16,0,,,,,,,,
1.365,66.8,0,3.62E-08,2.28E-14,3.62E-08,2.22E-15,0,,,,,,,,
1.37,66.8,0,2.39E-07,1.73E-12,2.39E-07,1.68E-13,0,,,,,,,,
1.375,66.8,0,1.67E-03,2.53E-04,1.92E-03,6.44E-05,0.0335,,,,,,,,
1.38,66.8,0,8.36E-05,1.07E-06,8.47E-05,1.81E-06,0.0214,,,,,,,,
1.385,66.8,0,6.30E-05,6.13E-07,6.37E-05,1.34E-06,0.021,,,,,,,,
1.39,66.8,0,1.68E-03,2.76E-04,1.95E-03,6.69E-05,0.0343,,,,,,,,
1.395,66.8,0,3.66E-04,2.08E-05,3.87E-04,9.85E-06,0.0255,,,,,,,,
1.4,66.8,0,1.17E-03,1.68E-04,1.34E-03,4.39E-05,0.0327,,,,,,,,
1.405,66.8,0,4.78E-03,1.89E-03,6.66E-03,3.15E-04,0.0472,,,,,,,,
1.41,66.8,0,2.62E-02,2.48E-02,5.10E-02,3.33E-03,0.0654,,,,,,,,
1.415,66.8,0,1.22E-01,2.02E-01,3.24E-01,2.53E-02,0.078,,,,,,,,
1.42,66.8,0,2.44E-01,4.89E-01,7.33E-01,6.03E-02,0.0822,,,,,,,,
1.425,66.8,0,4.66E-01,1.08E+00,1.54E+00,1.32E-01,0.0855,,,,,,,,
1.43,66.8,0,7.11E-01,1.78E+00,2.49E+00,2.18E-01,0.0873,,,,,,,,
1.435,66.8,0,5.33E-01,1.29E+00,1.83E+00,1.58E-01,0.0866,,,,,,,,
